2020-08-26 15:09:24,153 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-08-26 15:09:24,247 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-08-26 15:09:24,249 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-08-26 15:09:24,250 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-08-26 15:09:24,274 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-08-26 15:09:24,274 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-08-26 15:09:24,307 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-08-26 15:32:12,557 INFO  SwAddin.cs: 271 - Assembly export called for file testagv3
2020-08-26 15:32:12,560 INFO  SwAddin.cs: 276 - Save is required
2020-08-26 15:32:12,560 INFO  SwAddin.cs: 290 - Saving assembly
2020-08-26 15:32:13,787 INFO  SwAddin.cs: 293 - Opening property manager
2020-08-26 15:32:13,806 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from testagv3
2020-08-26 15:32:13,851 INFO  ExportHelperExtension.cs: 1142 - Found 28 in testagv3
2020-08-26 15:32:13,852 INFO  ExportHelperExtension.cs: 1152 - Found 2 features of type [CoordSys] in testagv3
2020-08-26 15:32:13,852 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-08-26 15:32:13,854 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-08-26 15:32:13,857 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from KMP600-1
2020-08-26 15:32:13,857 INFO  ExportHelperExtension.cs: 1142 - Found 42 in KMP600-1
2020-08-26 15:32:13,858 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in KMP600-1
2020-08-26 15:32:13,859 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from AGV大轮子-1
2020-08-26 15:32:13,859 INFO  ExportHelperExtension.cs: 1142 - Found 24 in AGV大轮子-1
2020-08-26 15:32:13,860 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in AGV大轮子-1
2020-08-26 15:32:13,860 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from AGV大轮子-2
2020-08-26 15:32:13,861 INFO  ExportHelperExtension.cs: 1142 - Found 24 in AGV大轮子-2
2020-08-26 15:32:13,861 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in AGV大轮子-2
2020-08-26 15:32:13,862 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from testagv3
2020-08-26 15:32:13,863 INFO  ExportHelperExtension.cs: 1142 - Found 28 in testagv3
2020-08-26 15:32:13,863 INFO  ExportHelperExtension.cs: 1152 - Found 2 features of type [RefAxis] in testagv3
2020-08-26 15:32:13,864 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-08-26 15:32:13,864 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-08-26 15:32:13,864 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from KMP600-1
2020-08-26 15:32:13,865 INFO  ExportHelperExtension.cs: 1142 - Found 42 in KMP600-1
2020-08-26 15:32:13,867 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [RefAxis] in KMP600-1
